Word,Description
Rival,the contestant you hope to defeat
River,a large natural stream of water (larger than a creek)
Rivet,heavy pin having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together
Riyal,the basic unit of money in Qatar
Rnase,a transferase that catalyzes the hydrolysis of ribonucleic acid
Roach,European freshwater food fish having a greenish back
Roads,a partly sheltered anchorage
Roast,(meat) cooked by dry heat in an oven
Robed,dressed or clothed especially in fine attire; often used in combination
Robin,large American thrush having a rust-red breast and abdomen
Roble,tall graceful deciduous California oak having leathery leaves and slender pointed acorns
Robot,a mechanism that can move automatically
Rocky,full of hardship or trials
Rodeo,an exhibition of cowboy skills
Rodin,French sculptor noted for his renderings of the human form (1840-1917)
Roget,English physician who in retirement compiled a well-known thesaurus (1779-1869)
Rogue,a deceitful and unreliable scoundrel
Roily,(of a liquid) agitated vigorously; in a state of turbulence
Rollo,Norse chieftain who became the first duke of Normandy (860-931)
Roman,of or relating to or derived from Rome (especially ancient Rome)
Romeo,an ardent male lover
Rondo,a musical form that is often the last movement of a sonata
Roneo,a rotary duplicator that uses a stencil through which ink is pressed (trade mark Roneo)
Roofy,street names for flunitrazepan
Rooms,apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
Roomy,(of buildings and rooms) having ample space
Roost,a perch on which domestic fowl rest or sleep
Roots,the condition of belonging to a particular place or group by virtue of social or ethnic or cultural lineage
Roper,a craftsman who makes ropes
Ropey,(British informal) very poor in quality
Rophy,street names for flunitrazepan
Rosin,any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
Rotor,rotating mechanism consisting of an assembly of rotating airfoils
Rouge,makeup consisting of a pink or red powder applied to the cheeks
Rough,ready and able to resort to force or violence; - Herman Melville
Round,"(mathematics) expressed to the nearest integer, ten, hundred, or thousand"
Rouse,cause to become awake or conscious
Route,an open way (generally public) for travel or transportation
Rover,an adult member of the Boy Scouts movement
Rowan,Eurasian tree with orange-red berrylike fruits
Rowdy,disturbing the public peace; loud and rough
Rowel,a small spiked wheel at the end of a spur
Rower,someone who rows a boat
Royal,invested with royal power as symbolized by a crown
Rubel,the basic unit of money in Belarus
Rubia,type genus of the Rubiaceae; Old World herbs and subshrubs grown for their medicinal properties and for dye substances extracted from their roots
Ruble,the basic unit of money in Russia
Rubor,a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat
Rubus,large genus of brambles bearing berries
Ruddy,of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies
Rudra,father of the Hindu storm gods Marut; controller of nature; sometimes identified with Siva
Rugby,a form of football played with an oval ball
Saale,a river that rises in central Germany and flows north to join the Elbe River
Saame,the language of nomadic Lapps in northern Scandinavia and the Kola Peninsula
Saami,the language of nomadic Lapps in northern Scandinavia and the Kola Peninsula
Sabah,a region of Malaysia in northeastern Borneo
Sabal,American dwarf fan palms
Saber,a stout sword with a curved blade and thick back
Sabin,United States microbiologist (born in Poland) who developed the Sabin vaccine that is taken orally against poliomyelitis (born 1906)
Sable,of a dark somewhat brownish black
Sabot,footwear usually with wooden soles
Sabra,a native-born Israeli
Sabre,a stout sword with a curved blade and thick back
Sacco,United States anarchist (born in Italy) who with Bartolomeo Vanzetti was convicted of murder and in spite of world-wide protest was executed (1891-1927)
Sadat,Egyptian statesman who (as president of Egypt) negotiated a peace treaty with Menachem Begin (then prime minister of Israel) (1918-1981)
Sadhe,the 18th letter of the Hebrew alphabet
Sadhu,(Hinduism) an ascetic holy man
Sadly,in an unfortunate way
Safar,the second month of the Islamic calendar
Sahib,formerly a term of respect for important white Europeans in colonial India; used after the name
Saida,the main city of ancient Phoenicia
Saiga,goat-like antelope of central Eurasia having a stubby nose like a proboscis
Saint,model of excellence or perfection of a kind; one having no equal
Sakti,the female or generative principle; wife of Siva and a benevolent form of Devi
Salad,food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens
Salah,the second pillar of Islam is prayer; a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca
Salai,East Indian tree yielding a resin used medicinally and burned as incense
Salal,small evergreen shrub of Pacific coast of North America having edible dark purple grape-sized berries
Salat,the second pillar of Islam is prayer; a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca
Salem,a city in southern India
Sales,income (at invoice values) received for goods and services over some given period of time
Salim,Venezuelan master terrorist raised by a Marxist-Leninist father; trained and worked with many terrorist groups (born in 1949)
Salix,a large and widespread genus varying in size from small shrubs to large trees: willows
Sally,a venture off the beaten path
Salmi,ragout of game in a rich sauce
Salmo,type genus of the Salmonidae: salmon and trout
Salol,a white powder with a pleasant taste and odor; used to absorb light in sun tan lotions or as a preservative or an antiseptic or a coating for pills in which the medicine is intended for enteric release
Salon,elegant sitting room where guests are received
Salpa,minute floating marine tunicate having a transparent body with an opening at each end
Salsa,spicy sauce of tomatoes and onions and chili peppers to accompany Mexican foods
Salty,containing or filled with salt
Salve,anything that remedies or heals or soothes
Salvo,rapid simultaneous discharge of firearms
Saman,large ornamental tropical American tree with bipinnate leaves and globose clusters of flowers with crimson stamens and seed pods that are eaten by cattle
Samba,a form of canasta using three decks of cards and six jokers
Samia,silkworm moths
Samoa,a group of volcanic islands in the South Pacific midway between Hawaii and Australia; its climate and scenery and Polynesian culture make it a popular tourist stop
Sanaa,the capital and largest city of Yemen; on the central plateau
Sands,the region of the shore of a lake or sea or ocean
Sandy,resembling or containing or abounding in sand; or growing in sandy areas
Sango,a trade language widely used in Chad
Santa,the legendary patron saint of children; an imaginary being who is thought to bring presents to children at Christmas
Saone,a river in eastern France; rises in Lorraine and flows south to become the chief tributary of the Rhone
Sapid,full of flavor
Sapir,anthropologist and linguist; studied languages of North American Indians (1884-1939)
Sappy,abounding in sap
Sarah,(Old Testament) the wife of Abraham and mother of Isaac
Saran,any of various thermoplastic resins used to make things
Sarda,bonitos
Saree,a dress worn primarily by Hindu women; consists of several yards of light material that is draped around the body
Sarin,a highly toxic chemical nerve agent that inhibits the activity of cholinesterase
Sassy,improperly forward or bold
Satan,(Judeo-Christian and Islamic religions) chief spirit of evil and adversary of God; tempter of mankind; master of Hell
Satie,French composer noted for his experimentalism and rejection of Romanticism (1866-1925)
Satin,a smooth fabric of silk or rayon; has a glossy face and a dull back
Satyr,one of a class of woodland deities; attendant on Bacchus; identified with Roman fauns
Sauce,flavorful relish or dressing or topping served as an accompaniment to food
Saucy,improperly forward or bold
Saudi,of or relating to Saudi Arabia or its people
Sauna,a Finnish steam bath; steam is produced by pouring water over heated rocks
Saury,slender long-beaked fish of temperate Atlantic waters
Saute,fried quickly in a little fat
Saved,guarded from injury or destruction
Saver,someone who saves something from danger or violence
Savin,procumbent or spreading juniper
Savor,the taste experience when a savoury condiment is taken into the mouth
Savoy,head of soft crinkly leaves
Savvy,the cognitive condition of someone who understands
Sawan,the fifth month of the Hindu calendar
Saxon,of or relating to or characteristic of the early Saxons or Anglo-Saxons and their descendents (especially the English or Lowland Scots) and their language
Sayda,the main city of ancient Phoenicia
Scads,a large number or amount
Scald,the act of burning with steam or hot water
Scale,a flattened rigid plate forming part of the body covering of many animals
Scalp,the skin that covers the top of the head
Scaly,"having the body covered or partially covered with thin horny plates, as some fish and reptiles"
Scamp,one who is playfully mischievous
Scant,less than the correct or legal or full amount often deliberately so
Scape,(architecture) upright consisting of the vertical part of a column
Scare,a sudden attack of fear
Scarf,a garment worn around the head or neck or shoulders for warmth or decoration
Scarp,a steep artificial slope in front of a fortification
Scary,provoking fear terror
Scaup,diving ducks of North America having a bluish-grey bill
Scend,rise or heave upward under the influence of a natural force such as a wave
Scene,graphic art consisting of the graphic or photographic representation of a visual percept
Scent,any property detected by the olfactory system
Schmo,(Yiddish) a jerk
Schwa,a neutral middle vowel; occurs in unstressed syllables
Scion,a descendent or heir
Scoff,showing your contempt by derision
Scoke,tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
Scold,someone (especially a woman) who annoys people by constantly finding fault
Scone,small biscuit (rich with cream and eggs) cut into diamonds or sticks and baked in an oven or (especially originally) on a griddle
Scoop,a large ladle
Scoot,run or move very quickly or hastily
Scope,electronic equipment that provides visual images of varying electrical quantities
Score,a seduction culminating in sexual intercourse
Scorn,open disrespect for a person or thing
Scots,of or relating to or characteristic of Scotland or its people or culture or its English dialect or Gaelic language
Scott,United States slave who sued for liberty after living in a non-slave state; caused the Supreme Court to declare the Missouri Compromise unconstitutional (1795?-1858)
Scour,a place that is scoured (especially by running water)
Scout,a person employed to keep watch for some anticipated event
Scowl,a facial expression of dislike or displeasure
Scrag,the lean end of a neck of veal
Scram,leave immediately; used usually in the imperative form
Scrap,the act of fighting; any contest or struggle
Scree,a sloping mass of loose rocks at the base of a cliff
Screw,slang for sexual intercourse
Scrim,a firm open-weave fabric used for a curtain in the theater
Scrip,a certificate whose value is recognized by the payer and payee; scrip is not currency but may be convertible into currency
Scrod,young Atlantic cod or haddock especially one split and boned for cooking
Scrub,(of domestic animals) not selectively bred
Scrum,(rugby) the method of beginning play in which the forwards of each team crouch side by side with locked arms; play starts when the ball is thrown in between them and the two sides compete for possession
Scuba,a device (trade name Aqua-Lung) that lets divers breathe under water; scuba is an acronym for self-contained underwater breathing apparatus
Scuff,the act of scuffing (scraping or dragging the feet)
Scull,a racing shell that is propelled by sculls
Scurf,a thin flake of dead epidermis shed from the surface of the skin
Scute,large bony or horny plate as on an armadillo or turtle or the underside of a snake
Seamy,morally degraded; ; ; ; - Seattle Weekly; - James Joyce
Seats,an area that includes places where several people can sit
Sebum,the oily secretion of the sebaceous glands; with perspiration it moistens and protects the skin
Sedan,a car that is closed and that has front and rear seats and two or four doors
Seder,(Judaism) the ceremonial dinner on the first night (or both nights) of Passover
Sedge,"grasslike or rushlike plant growing in wet places having solid stems, narrow grasslike leaves and spikelets of inconspicuous flowers"
Sedgy,covered with sedges (grasslike marsh plants)
Sedna,a planetoid of rock and ice about three-quarters the size of Pluto discovered in 2003; the most distant object known to orbit around the sun
Sedum,any of various plants of the genus Sedum
Seedy,morally degraded; ; ; ; - Seattle Weekly; - James Joyce
Segal,United States sculptor (born in 1924)
Segno,(music) a notation written at the beginning or end of a passage that is to be repeated
Segue,the act of changing smoothly from one state or situation to another
Seine,"a large fishnet that hangs vertically, with floats at the top and weights at the bottom"
Seism,shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
Seize,capture the attention or imagination of
Selar,big-eyed scad
Seles,United States tennis player (born in Yugoslavia in 1973)
Selma,a town in central Alabama on the Alabama river; in 1965 it was the center of a drive to register Black voters
Selva,a rain forest in a tropical area
Semen,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
Senna,any of various plants of the genus Senna having pinnately compound leaves and showy usually yellow flowers; many are used medicinally
Senor,a Spanish title or form of address for a man; similar to the English `Mr' or `sir'
Sense,sound practical judgment
Sente,100 lisente equal 1 loti in Lesotho; one sente is worth one-hundredth of a loti
Seoul,the capital of South Korea and the largest city of Asia; located in northwestern South Korea
Sepal,one of the green parts that form the calyx of a flower
Sepia,type genus of the Sepiidae
Serax,a tranquilizing drug (trade name Serax) used to treat anxiety and insomnia and alcohol withdrawal
Serer,a West African language closely related to Fula; spoken primarily in Senegal and Gambia
Serge,a twilled woolen fabric
Serif,a short line at the end of the main strokes of a character
Serin,any of various brown and yellow finches of parts of Europe
Serow,short-horned dark-coated goat antelope of mountain areas of southern and southeastern Asia
Serra,Spanish missionary who founded Franciscan missions in California (1713-1784)
Serum,"an amber, watery fluid, rich in proteins, that separates out when blood coagulates"
Serve,(sports) a stroke that puts the ball in play
Servo,of or involving servomechanisms
Seton,United States religious leader who was the first person born in the United States to be canonized (1774-1821)
Setup,an act that incriminates someone on a false charge
Seven,being one more than six
Sever,cut off from a whole
Sewed,fastened with stitches
Sewer,a waste pipe that carries away sewage or surface water
Sexed,characterized by sexuality
Shabu,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant
Shack,small crude shelter used as a dwelling
Shade,protective covering that protects something from direct sunlight
Shady,filled with shade
Shaft,the hollow spine of a feather
Shahn,United States artist whose work reflected social and political themes (1898-1969)
Shake,causing to move repeatedly from side to side
Shako,tall hat; worn by some British soldiers on ceremonial occasions
Shaky,not secure; beset with difficulties
Shale,a sedimentary rock formed by the deposition of successive layers of clay
Shame,an unfortunate development
Shang,the imperial dynasty ruling China from about the 18th to the 12th centuries BC
Shank,a poor golf stroke in which the heel of the club hits the ball
Shape,the spatial arrangement of something as distinct from its substance
Shard,a broken piece of a brittle artifact
Share,the part played by a person in bringing about a result
Shari,an African river that flows northwest into Lake Chad
Shark,any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
Sharp,marked by practical hardheaded intelligence
Shave,the act of removing hair with a razor
Tabby,having a grey or brown streak or a pattern or a patchy coloring; used especially of the patterned fur of cats
Tabes,wasting of the body during a chronic disease
Tabis,a sock with a separation for the big toe; worn with thong sandals by the Japanese
Table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
Taboo,excluded from use or mention
Tabor,a small drum with one head of soft calfskin
Tabuk,a city in northwestern Saudi Arabia
Tabun,"the first known nerve agent, synthesized by German chemists in 1936; a highly toxic combustible liquid that is soluble in organic solvents and is used as a nerve gas in chemical warfare"
Tacca,genus of tropical plants with creeping rootstocks and small umbellate flowers
Tacit,implied by or inferred from actions or statements
Tacky,tastelessly showy
Taegu,a city in southeastern South Korea
Taffy,chewy candy of sugar or syrup boiled until thick and pulled until glossy
Tagus,a European river; flows into the North Atlantic
Tails,formalwear consisting of full evening dress for men
Taint,the state of being contaminated
Taira,long-tailed arboreal mustelid of Central America and South America
Tajik,the Iranian language of the Tajik that is closely related to Farsi; spoken in Iran and Tajikistan
Taken,be affected with an indisposition
Taker,one who takes a bet or wager
Takin,large heavily built goat antelope of eastern Himalayan area
Talks,a discussion intended to produce an agreement
Talky,full of trivial conversation
Tally,a score in baseball made by a runner touching all four bases safely
Talon,a sharp hooked claw especially on a bird of prey
Talus,the bone in the ankle that articulates with the leg bones to form the ankle joint
Tamed,brought from wildness into a domesticated state
Tamer,an animal trainer who tames wild animals
Tamil,of or relating to a speaker of the Tamil language or the language itself
Tammy,a woolen cap of Scottish origin
Tampa,a resort city in western Florida; located on Tampa Bay on the Gulf of Mexico
Tamus,a genus of tuberous vines of the family Dioscoreaceae; has twining stems and heart-shaped leaves and axillary racemes
Tandy,"United States actress (born in England) who made many stage appearances, often with her husband Hume Cronyn (1909-1994)"
Taney,United States jurist who served as chief justice of the United States Supreme Court; remembered for his ruling that slaves and their descendants have no rights as citizens (1777-1864)
Tanga,a port city in northeastern Tanzania on the Indian Ocean
Tange,Japanese architect (born in 1913)
Tango,a ballroom dance of Latin-American origin
Tangy,tasting sour like a lemon
Tanka,a Tibetan religious painting on fabric
Tansy,common perennial aromatic herb native to Eurasia having buttonlike yellow flower heads and bitter-tasting pinnate leaves sometimes used medicinally
Taped,secured or held in place by tape
Taper,stick of wax with a wick in the middle
Tapir,large inoffensive chiefly nocturnal ungulate of tropical America and southeast Asia having a heavy body and fleshy snout
Tapis,a heavy textile with a woven design; used for curtains and upholstery
Tappa,a paperlike cloth made in the South Pacific by pounding tapa bark
Tardy,after the expected or usual time; delayed
Tarot,any of a set of (usually 72) cards that include 22 cards representing virtues and vices and death and fortune etc.; used by fortunetellers
Tarry,having the characteristics of pitch or tar
Tartu,a city of southeastern Estonia that was a member of the Hanseatic League
Tasse,one of two pieces of armor plate hanging from the fauld to protect the upper thighs
Tasso,Italian poet who wrote an epic poem about the capture of Jerusalem during the First Crusade (1544-1595)
Taste,a kind of sensing; distinguishing substances by means of the taste buds
Tasty,pleasing to the sense of taste
Tatar,the Turkic language spoken by the Tatar living from the Volga to the Ural Mountains
Tater,an edible tuber native to South America; a staple food of Ireland
Tatou,about three feet long exclusive of tail
Tatty,tastelessly showy
Tatum,United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)
Taunt,aggravation by deriding or mocking or criticizing
Tauon,a lepton of very great mass
Taupe,of something having a dusky brownish grey color
Tawny,of a light brown to brownish orange color; the color of tanned leather
Tawse,a leather strap for punishing children
Taxer,a bureaucrat who levies taxes
Taxis,the surgical procedure of manually restoring a displaced body part
Taxon,animal or plant group having natural relations
Taxus,yews
Tayra,long-tailed arboreal mustelid of Central America and South America
Tchad,a landlocked desert republic in north-central Africa; was under French control until 1960
Teach,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
Tears,the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
Teary,with eyes full of tears
Tease,the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
Tebet,the fourth month of the civil year; the tenth month of the ecclesiastical year (in December and January)
Techy,easily irritated or annoyed
Teddy,a woman's sleeveless undergarment
Teens,all the numbers that end in -teen
Teeny,(used informally) very small
Teeth,the kind and number and arrangement of teeth (collectively) in a person or animal
Teiid,tropical New World lizard with a long tail and large rectangular scales on the belly and a long tail
Tekki,a technician who is highly proficient and enthusiastic about some technical field (especially computing)
Telco,a public utility that provides telephone service
Telex,a character printer connected to a telegraph that operates like a typewriter
Telly,an electronic device that receives television signals and displays them on a screen
Tempo,(music) the speed at which a composition is to be played
Tempt,induce into action by using one's charm
Tench,freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
Tenet,a religious doctrine that is proclaimed as true without proof
Tenge,the basic unit of money in Kazakhstan
Tenia,a narrow headband or strip of ribbon worn as a headband
Tenno,the emperor of Japan; when regarded as a religious leader the emperor is called tenno
Tenon,a projection at the end of a piece of wood that is shaped to fit into a mortise and form a mortise joint
Tenor,of or close in range to the highest natural adult male voice
Tense,taut or rigid; stretched tight
Tenth,coming next after the ninth and just before the eleventh in position
Tepal,an undifferentiated part of a perianth that cannot be distinguished as a sepal or a petal (as in lilies and tulips)
Tepee,a Native American tent; usually of conical shape
Tepic,a city in west central Mexico
Tepid,feeling or showing little interest or enthusiasm
Teras,(medicine) a grossly malformed and usually nonviable fetus
Terce,the third canonical hour; about 9 a.m.
Teres,either of two muscles in the shoulder region that move the shoulders and arms
Terms,the amount of money needed to purchase something
Terry,a pile fabric (usually cotton) with uncut loops on both sides; used to make bath towels and bath robes
Terse,brief and to the point; effectively cut short
Tesla,United States electrical engineer and inventor (born in Croatia but of Serbian descent) who discovered the principles of alternating currents and developed the first alternating-current induction motor and the Tesla coil and several forms of oscillators (1856-1943)
Testa,protective outer layer of seeds of flowering plants
Testy,easily irritated or annoyed
Teton,a member of the large western branch of Sioux people which was made up of several groups that lived on the plains
Tetra,brightly colored tropical freshwater fishes
Tetri,100 tetri equal 1 lari in Georgia
Tevet,the fourth month of the civil year; the tenth month of the ecclesiastical year (in December and January)
Texan,of or relating to or characteristic of Texas or its residents
Texas,the second largest state; located in southwestern United States on the Gulf of Mexico
Thane,a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land)
Thank,express gratitude or show appreciation to
Tharp,innovative United States dancer and choreographer (born in 1941)
Thebe,100 thebe equal 1 pula in Botswana
Theca,outer sheath of the pupa of certain insects
Theft,the act of taking something from someone unlawfully
Theia,(Greek mythology) the Titaness who was mother of Helios and Selene and Eos in ancient mythology
Theme,a unifying idea that is a recurrent element in literary or artistic work
There,in or at that place
Therm,"a unit of heat equal to 100,000 British thermal units"
Theta,the 8th letter of the Greek alphabet
Thick,abounding; having a lot of
Thief,a criminal who takes property belonging to someone else with the intention of keeping it or selling it
Thigh,the part of the leg between the hip and the knee
Thill,one of two shafts extending from the body of a cart or carriage on either side of the animal that pulls it
Thing,a separate and self-contained entity
Think,an instance of deliberate thinking
Third,coming next after the second and just before the fourth in position
Thole,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing
Thong,a backless sandal held to the foot by a thong between the big toe and the second toe
Thorn,something that causes irritation and annoyance
Thoth,Egyptian Moon deity with the head of an ibis; god of wisdom and learning and the arts; scribe of the gods
Three,being one more than two
Thrip,any of various small to minute sucking insects with narrow feathery wings if any; they feed on plant sap and many are destructive
Throb,an instance of rapid strong pulsation (of the heart)
Throe,severe spasm of pain
Throw,the act of throwing (propelling something with a rapid movement of the arm and wrist)
Thrum,a thrumming sound
Thuja,red cedar
Thule,the geographical region believed by ancient geographers to be the northernmost land in the inhabited world
Thumb,a convex molding having a cross section in the form of a quarter of a circle or of an ellipse
Thump,a heavy blow with the hand
Thunk,a dull hollow sound
Thyme,leaves can be used as seasoning for almost any meat and stews and stuffings and vegetables
Tiara,a jeweled headdress worn by women on formal occasions
Tiber,a river of central Italy; flows through Rome to the Tyrrhenian Sea
Tibet,an autonomous region of the Peoples Republic of China; located in the Himalayas
Tibia,the inner and thicker of the two bones of the human leg between the knee and ankle
Tibit,"a unit of information equal to 1024 gibibits or 2^40 (1,099,511,627,776) bits"
Tibur,a town twenty miles to the east of Rome (Tibur is the ancient name); a summer resort during the Roman empire; noted for its waterfalls
Tical,the basic unit of money in Thailand
Tidal,of or relating to or caused by tides
Tiger,large feline of forests in most of Asia having a tawny coat with black stripes; endangered
Tight,affected by scarcity and expensive to borrow
Tigon,offspring of a male tiger and a female lion
Tilde,a diacritical mark (~) placed over the letter n in Spanish to indicate a palatal nasal sound or over a vowel in Portuguese to indicate nasalization
Tiled,covered or furnished with tiles
Tiler,a worker who lays tile
Tilia,deciduous trees with smooth usually silver-grey bark of North America and Europe and Asia: lime trees; lindens; basswood
Tilth,arable land that is worked by plowing and sowing and raising crops
Timed,regularly spaced in time
Timer,a timepiece that measures a time interval and signals its end
Times,an arithmetic operation that is the inverse of division; the product of two numbers is computed
Timid,showing fear and lack of confidence
Timor,an island in Indonesia in the Malay Archipelago; the largest and most eastern of the Lesser Sunda Islands
Timur,Mongolian ruler of Samarkand who led his nomadic hordes to conquer an area from Turkey to Mongolia (1336-1405)
Tinca,tench
Tinct,color lightly
Tinea,type genus of the Tineidae: clothes moths
Tined,having prongs or tines; usually used in combination
Tinge,a pale or subdued color
Tinny,thin and metallic in sound; lacking resonance
Tippy,(used of boats) inclined to heel over easily under sail
Tipsy,slightly intoxicated
Tired,repeated too often; overfamiliar through overuse
Tirol,a picturesque mountainous province of western Austria and northern Italy
Titan,the largest of the satellites of Saturn; has a hazy nitrogen atmosphere
Titer,the concentration of a solution as determined by titration
Tithe,an offering of a tenth part of some personal income
Title,an informal right to something
Titre,the concentration of a solution as determined by titration
Titty,either of two soft fleshy milk-secreting glandular organs on the chest of a woman
Titus,a New Testament book containing Saint Paul's epistle to Titus; contains advice on pastoral matters
Tiyin,100 tiyin equal 1 tenge in Kazakhstan
Tizzy,an excited state of agitation
Toady,a person who tries to please someone in order to gain a personal advantage
Toast,slices of bread that have been toasted
Tobey,United States abstract painter influenced by oriental calligraphy (1890-1976)
Ubykh,an extinct Caucasian language spoken exclusively in Turkey
Udder,mammary gland of bovids (cows and sheep and goats)
Ugric,one of the two branches of the Finno-Ugric family of languages; spoken in Hungary and northwestern Siberia
Uigur,the script (derived from Aramaic) used to write the Uighur language
Ukase,an edict of the Russian tsar
Ulama,the body of Mullahs (Muslim scholars trained in Islam and Islamic law) who are the interpreters of Islam's sciences and doctrines and laws and the chief guarantors of continuity in the spiritual and intellectual history of the Islamic community
Ulcer,a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
Ulema,the body of Mullahs (Muslim scholars trained in Islam and Islamic law) who are the interpreters of Islam's sciences and doctrines and laws and the chief guarantors of continuity in the spiritual and intellectual history of the Islamic community
Ulmus,type genus of family Ulmaceae; deciduous trees having simple serrate leaves; widely distributed in temperate regions
Ulnar,relating to or near the ulna
Ultra,(used of opinions and actions) far beyond the norm
Umbel,flat-topped or rounded inflorescence characteristic of the family Umbelliferae in which the individual flower stalks arise from about the same point; youngest flowers are at the center
Umber,of the color of any of various natural brown earth pigments
Umbra,a region of complete shadow resulting from total obstruction of light
Ummah,"the Muslim community or people, considered to extend from Mauritania to Pakistan"
Unarm,take away the weapons from; render harmless
Unary,consisting of or involving a single element or component
Unbar,remove a bar from (a door)
Unbox,remove from a box
Uncle,the brother of your father or mother; the husband of your aunt
Uncus,(biology) any hook-shaped process or part
Uncut,complete
Under,"lower in rank, power, or authority"
Undue,not yet payable
Unfed,not given support
Unfit,not in good physical or mental condition; out of condition
Uniat,a member of the Uniat Church
Unify,join or combine
Union,being of or having to do with the northern United States and those loyal to the Union during the American Civil War
Unite,join or combine
Unity,the quality of being united into one
Unlax,cause to feel relaxed
Unlit,without illumination
Unman,cause to lose one's nerve
Unpin,remove the pins from; unfasten the pins of
Unsay,take back what one has said
Unsex,make infertile
Untie,undo the ties of
Unwed,of someone who has not been married
Unzip,open the zipper of
Upend,"set, turn, or stand on end"
Upper,higher in place or position
Upset,used of an unexpected defeat of a team favored to win
Upupa,type genus of the Upupidae
Urals,a mountain range in western Russia extending from the Arctic to the Caspian Sea; forms part of the traditional boundary between Europe and Asia
Urate,a salt of uric acid
Urban,located in or characteristic of a city or city life
Uriah,(Old Testament) the husband of Bathsheba and a soldier who was sent to die in battle so that king David could marry his wife (circa 10th century BC)
Urial,bearded reddish sheep of southern Asia
Urine,liquid excretory product
Urmia,a city on the western side of Lake Urmia in northwestern Iran
Ursus,type genus of Ursidae: brown bears; in some classifications genus Ursus includes all bears
Usage,accepted or habitual practice
Usbeg,the Turkic language spoken by the Uzbek
Usbek,the Turkic language spoken by the Uzbek
Ushas,Hindu goddess of dawn; daughter of the sky and sister of the night
Usher,someone employed to conduct others
Using,an act that exploits or victimizes someone (treats them unfairly)
Uskub,capital of modern Macedonia
Usnea,widely distributed lichens usually having a greyish or yellow pendulous freely branched thallus
Usual,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure
Usuli,a religious movement by Persian Shiite Muslims in 17th century Iran that is opposed to the Akhbari
Usurp,seize and take control without authority and possibly with force; take as one's right or possession
Usury,the act of lending money at an exorbitant rate of interest
Utica,an ancient city on the north coast of Africa (northwest of Carthage); destroyed by Arabs around 700 AD
Utile,being of use or service
Utter,complete
Uveal,of or relating to the uvea of the eye
Uvula,a small pendant fleshy lobe at the back of the soft palate
Uygur,the script (derived from Aramaic) used to write the Uighur language
Uzbak,the Turkic language spoken by the Uzbek
Uzbeg,the Turkic language spoken by the Uzbek
Uzbek,the Turkic language spoken by the Uzbek
Vaduz,the capital and largest city of Liechtenstein
Vagal,of or relating to the vagus nerve
Vague,not clearly understood or expressed; ; -Anatole Broyard; - P.A.Sorokin; - John Locke
Vagus,a mixed nerve that supplies the pharynx and larynx and lungs and heart and esophagus and stomach and most of the abdominal viscera
Vajra,Indra's thunderbolt
Valet,a manservant who acts as a personal attendant to his employer
Valid,still legally acceptable
Valmy,the French defeated the Austrian and Prussian troops in 1792 (with a famous cannonade from the French artillery)
Valor,the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)
Valse,a ballroom dance in triple time with a strong accent on the first beat
Value,relative darkness or lightness of a color; -Joe Hing Lowe
Valve,one of the paired hinged shells of certain molluscs and of brachiopods
Vanda,any of numerous showy orchids of the genus Vanda having many large flowers in loose racemes
Vaned,(of an arrow) equipped with feathers
Vanir,(Norse mythology) race of ancient gods sometimes in conflict with the Aesir
Vapid,lacking significance or liveliness or spirit or zest
Vapor,the process of becoming a vapor
Varan,any of various large tropical carnivorous lizards of Africa and Asia and Australia; fabled to warn of crocodiles
Varix,abnormally enlarged or twisted blood vessel or lymphatic vessel
Varna,(Hinduism) the name for the original social division of Vedic people into four groups (which are subdivided into thousands of jatis)
Varro,Roman scholar (116-27 BC)
Varus,a deformity in which part of a limb is turned inward to an abnormal degree
Vatic,resembling or characteristic of a prophet or prophecy
